id,model_name,training_time_s,accuracy,cpu_usage_time,memo_usage_mib,cpu_limit_util,cpu_percent_util_min,cpu_percent_util_max,memory_percentage,power_use_memory,energy_use_memory,power_min_skylake_cpu,power_use_skylake_cpu,power_min_broadwell_cpu,power_use_broadwell_cpu,power_min_haswell_cpu,power_use_haswell_cpu,min_power_amd_cpu_n_4,power_amd,energy_use_skylake_cpu,energy_use_broadwell_cpu,energy_use_haswell_cpu,total_energy_skylake,total_energy_broadwell,total_energy_haswell,avg_energy,experiment,num_layers,max_epoch,batch_size,no_nodes,accelerator
1efed138-7adc-4feb-930d-b1d3425b5570,mnist_resnet,119,83.06,1.642,504.84,0.3489,1.5201,44.75,0.063105,0.189315,22.528485,0.35342325,10.59964135,0.2675376,8.023814524,0.32302125,9.687844241,2.00136366,0,2106.466725,1594.57266,1925.265286,2128.99521,1617.101145,1947.793771,1897.963375,5,1,2,512,6,off
7539a8d0-e356-412a-a464-75271c119b7b,mnist_cnn,42,87.98,0.818,377.34,0.273,1.37,18.09,0.0471675,0.1415025,5.943105,0.318525,4.466828828,0.24112,3.381341392,0.291125,4.082585488,1.803742,0,313.303374,237.1672852,286.3525461,319.246479,243.1103902,292.2956511,284.8841734,5,1,2,512,6,off
3142c074-effb-43b1-a010-945fabb617d9,mnist_cnn,42,86.82,0.77,389.92,0.257,1.43,18.09,0.04874,0.14622,6.14124,0.332475,4.478255273,0.25168,3.389991088,0.303875,4.093029013,1.882738,0,314.1048248,237.7739749,287.0850549,320.2460648,243.9152149,293.2262949,285.7958582,5,1,2,512,6,off
c32fb90d-f021-4fa2-b259-3a9159cb44e5,mnist_cnn,33,87.37,0.00155,8.59,0.000517,1.53,53.73,0.00107375,0.00322125,0.10630125,0.355725,12.65681896,0.26928,9.581075856,0.325125,11.56806034,2.014398,0,697.5172927,528.0130904,637.5158052,697.623594,528.1193917,637.6221064,621.1216974,5,1,2,512,6,off
dd6ac7d0-a065-4c50-950f-cfd06dbe3d74,cifar10_resnet,1138,45.59,2.261,2739.2,0.716,1.2626,50.36,0.3424,1.0272,1168.9536,0.2935545,11.85442045,0.2222176,8.973668817,0.2683025,10.83468536,1.66233916,0,22528.8519,17054.09864,20590.88614,23697.8055,18223.05224,21759.83974,21226.89916,5,1,2,512,6,off
7dcc0c64-e3a0-4e13-a7a4-7357cb468bd1,cifar10_resnet,1140,45.64,2.157,2240.512,0.60717,1.2832,50.35,0.280064,0.840192,957.81888,0.298344,11.8545028,0.2258432,8.973731149,0.27268,10.83476062,1.68946112,0,22568.60242,17084.18936,20627.21727,23526.4213,18042.00824,21585.03615,21051.15523,5,1,2,512,6,off
3b062941-e4a0-48db-bc7f-fe373bfce1fb,cifar10_resnet,1142,45.53,2.056,2521.088,0.696,1.247,50.37,0.315136,0.945408,1079.655936,0.2899275,11.85491602,0.219472,8.974043954,0.2649875,10.8351383,1.6418002,0,22608.98454,17114.75819,20664.12565,23688.64047,18194.41412,21743.78159,21208.94539,5,1,2,512,6,off
b128bf7f-2f8b-415c-a77a-5a03b05edca3,mnist_cnn,80,89.73,0.613,386.35,0.249,4.515,36.82,0.04829375,0.14488125,11.5905,1.0497375,9.223874153,0.79464,6.982373552,0.9594375,8.430422613,5.944449,52.23291488,4105.313507,3955.581267,4052.310944,4116.904007,3967.171767,4063.901444,4049.32574,6,4,2,128,6,on
72ab0981-baac-45c2-929e-75c6df747773,mnist_cnn,70,89.73,1.077,405.56,0.359,1.905,37.18,0.050695,0.152085,10.64595,0.4429125,8.922587633,0.33528,6.754302896,0.4048125,8.155053213,2.508123,50.52679087,3474.816173,3348.079931,3429.953787,3485.462123,3358.725881,3440.599737,3428.26258,6,4,2,128,6,on
70b5d620-17d6-4424-863c-a83b6da2f2be,mnist_cnn,75,89.73,0.4008,12.39,0.4259,4.5559,36.82,0.00154875,0.00464625,0.34846875,1.05924675,9.229882097,0.8018384,6.986921501,0.96812875,8.435913744,5.99829794,52.26693664,3851.238273,3710.772866,3801.516005,3851.586742,3711.121335,3801.864474,3788.19085,6,4,2,128,6,on
f6d8102b-eaf0-4642-ac5c-7aa86409f877,cifar10_cnn,349,65.7,1.793,1168.384,0.686,5.66,49.78,0.146048,0.438144,152.912256,1.31595,12.23472009,0.99616,9.261551552,1.20275,11.18227105,7.451956,69.2827203,23755.40489,22888.97898,23448.70546,23908.31715,23041.89124,23601.61771,23517.27537,6,4,2,128,6,on
355ced9f-c75f-4713-91c3-e863dbb2c7eb,cifar10_cnn,324,65.7,2.071,1165.312,0.665,1.68,50.32,0.145664,0.436992,141.585408,0.3906,11.89345008,0.29568,9.003213824,0.357,10.8703576,2.211888,67.35017796,21438.57113,20656.64661,21161.78369,21580.15654,20798.23202,21303.3691,21227.25255,6,4,2,128,6,on
264ed93a-40e2-4a67-8e09-762669c781f7,cifar10_cnn,324,65.7,2.136,1053.696,0.711,5.6,50.33,0.131712,0.395136,128.024064,1.302,12.3484284,0.9856,9.34762752,1.19,11.286198,7.37296,69.92662723,22258.69355,21446.85688,21971.31774,22386.71761,21574.88094,22099.3418,22020.31345,6,4,2,128,6,on
71a011f7-fbaf-44e3-a47e-a0f4acc01ab0,cifar10_resnet,2609,71.01,2.422,2362.368,0.778,2.604,51.35,0.295296,0.885888,2311.281792,0.60543,12.2334167,0.458304,9.260564896,0.55335,11.18107978,3.4284264,69.27533944,177568.0479,171091.6456,175275.5161,179879.3297,173402.9274,177586.7979,176956.3517,6,4,2,128,6,on
7549c62b-0a95-4677-9a9d-058e1bcd0ce2,cifar10_resnet,3110,71.01,2.344,2393.088,0.742,2.966,51.27,0.299136,0.897408,2790.93888,0.689595,12.25631464,0.522016,9.277898397,0.630275,11.20200801,3.9050356,69.40500585,212062.2001,204327.6999,209324.3239,214853.139,207118.6388,212115.2628,211362.3469,6,4,2,128,6,on
a728ae9b-ea0d-409c-b2ad-3d21f991ea71,cifar10_resnet,2699,71.01,2.358,2388.992,0.772,2.523,51.26,0.298624,0.895872,2417.958528,0.5865975,12.20385762,0.444048,9.238188995,0.5361375,11.15406342,3.3217818,69.10795245,183249.5804,176565.9569,180883.696,185667.539,178983.9154,183301.6545,182651.0363,6,4,2,128,6,on
5105bd84-7ec4-4dd3-92c9-db5f56cc83f0,mnist_resnet,539,89.16,2.387,602.39,0.774,2.0609,51.59,0.07529875,0.22589625,121.7580788,0.47915925,12.22663599,0.3627184,9.255431977,0.43794125,11.17488236,2.71338094,69.23694171,36663.9051,35326.67017,36190.5476,36785.66318,35448.42824,36312.30568,36182.13237,6,4,2,128,6,on
9765a7b5-8442-49f8-bb65-395d5cb31caa,mnist_resnet,542,89.51,2.287,609.29,0.719,2.1144,51.65,0.07616125,0.22848375,123.8381925,0.491598,12.24631263,0.3721344,9.270326982,0.44931,11.19286639,2.78381904,69.34836651,36927.30394,35580.46211,36450.54577,37051.14213,35704.3003,36574.38396,36443.27547,6,4,2,128,6,on
ecdb8e35-1d48-4e8e-8f1f-111fda316b61,mnist_resnet,529,87.77,2.145,561.39,0.708,2.0511,51.59,0.07017375,0.21052125,111.3657413,0.47688075,12.22553297,0.3609936,9.254597002,0.43585875,11.17387422,2.70047826,69.23069553,35980.43797,34668.13099,35515.90453,36091.80371,34779.49673,35627.27027,35499.52357,6,4,2,128,6,on
b40b9ac7-426b-40bd-aecf-3a0992e3fd64,mnist_cnn,557,90.52,2.154,339.98,0.682,1.378,51.71,0.0424975,0.1274925,71.0133225,0.320385,12.17728892,0.242528,9.218076771,0.292825,11.12978019,1.8142748,0,11327.19238,8574.562832,10352.81024,11398.2057,8645.576154,10423.82356,10155.86847,7,1,25,128,6,off
